,Asn,titles,price,rating,no_of_rating,mrp,brand,links,image
0,B091JG3GJ5,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B091JG3GJ5,
1,B096XYFJSQ,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B096XYFJSQ,
2,B0779YGB2G,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B0779YGB2G,
3,B0791BHKDJ,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B0791BHKDJ,
4,B09CH6LG7C,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B09CH6LG7C,
5,B081DQFCC1,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B081DQFCC1,
6,B094JS14W1,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B094JS14W1,
7,B0BNQ92SZV,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B0BNQ92SZV,
8,B09CH6PWSM,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B09CH6PWSM,
9,B0791BHKDJ,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B0791BHKDJ,
10,B09YRSRZRB,,,,,,,https://www.flipkart.com/raegr-rg10451-arc-one-15w-type-c-pd-made-india-qi-enabled-wireless-charger-charging-pad/p/itme8b1434aacf1d?pid=B09YRSRZRB,
